"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOT-223-3_TabPin2";1;"AMS1117";;;
2;"C2";"C_0805_2012Metric";1;"22uF";;;
3;"R2,R1";"R_0805_2012Metric";2;"5.1K";;;
4;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
5;"D1";"D_0402_1005Metric";1;"D_Schottky";;;
6;"C5,C3,C4";"C_0805_2012Metric";3;"C";;;
7;"DS1";"OLED-128O064D";1;"OLED-128O064D";;;
8;"D4,D3,D2";"D_SOD-923";3;"ESD9B3.3ST5G";;;
9;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"INA219AxD";;;
10;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
11;"R3";"C_0805_2012Metric";1;"910K";;;
12;"C1";"C_0805_2012Metric";1;"10uF";;;
